"hash","desc"
"a196c6b8ffcb97ffb276d04f354696e2391311db3841ae16c8c9f56f36a38e92","CISA AA24-249A Russian Military Cyber Actors Target US and Global Critical Infrastructure"
"b9e64b58d7746cb1d3bed20405ef34d097af08c809d8dad10b9296b0bebb2b0b","CISA AA24-249A Russian Military Cyber Actors Target US and Global Critical Infrastructure"
"aa79afbf82b06cda268664b7c83900d8f7a33e0f0071facba0b3d8f7a68ce56a","CISA AA24-249A Russian Military Cyber Actors Target US and Global Critical Infrastructure"
"dcbbae5a1c61dbbbb7dcd6dc5dd1eb1169f5329958d38b58c3fd9384081c9b78","CISA AA24-249A Russian Military Cyber Actors Target US and Global Critical Infrastructure"
"9ef7dbd3da51332a78eff19146d21c82957821e464e8133e9594a07d716d892d","CISA AA24-249A Russian Military Cyber Actors Target US and Global Critical Infrastructure"
"db5a204a34969f60fe4a653f51d64eee024dbf018edea334e8b3df780eda846f","CISA AA24-249A Russian Military Cyber Actors Target US and Global Critical Infrastructure"
"35feefe6bd2b982cb1a5d4c1d094e8665c51752d0a6f7e3cae546d770c280f3a","CISA AA24-249A Russian Military Cyber Actors Target US and Global Critical Infrastructure"
"0dd61a16c625c49ffefaf4ce24cabf9a074028a06640d9bbb804f735ff56dfa3","CISA AA24-249A Russian Military Cyber Actors Target US and Global Critical Infrastructure"
"fd4a5398e55beacb2315687a75af5aa15b776b5d36b9800a1792ede3955616c2","CISA AA24-249A Russian Military Cyber Actors Target US and Global Critical Infrastructure"
"29ae7b30ed8394c509c561f6117ea671ec412da50d435099756bbb257fafb10b","CISA AA24-249A Russian Military Cyber Actors Target US and Global Critical Infrastructure"
"34ca75a8c190f20b8a7596afeb255f2228cb2467bd210b2637965b61ac7ea907","CISA AA24-249A Russian Military Cyber Actors Target US and Global Critical Infrastructure"
