"ip","desc","source","date_added"
"192.210.149.242","Pulled from March 2022 Keeling maldoc (Internal SWT)","",""
"5.226.139.66","CISA AA24-249A Russian Military Cyber Actors Target US and Global Critical Infrastructure","",""
"45.141.87.11","CISA AA24-249A Russian Military Cyber Actors Target US and Global Critical Infrastructure","",""
"46.101.242.222","CISA AA24-249A Russian Military Cyber Actors Target US and Global Critical Infrastructure","",""
"62.173.140.223","CISA AA24-249A Russian Military Cyber Actors Target US and Global Critical Infrastructure","",""
"79.124.8.66","CISA AA24-249A Russian Military Cyber Actors Target US and Global Critical Infrastructure","",""
"90.131.156.107","CISA AA24-249A Russian Military Cyber Actors Target US and Global Critical Infrastructure","",""
"112.51.253.153","CISA AA24-249A Russian Military Cyber Actors Target US and Global Critical Infrastructure","",""
"112.132.218.45","CISA AA24-249A Russian Military Cyber Actors Target US and Global Critical Infrastructure","",""
"154.21.20.82","CISA AA24-249A Russian Military Cyber Actors Target US and Global Critical Infrastructure","",""
"179.43.133.202","CISA AA24-249A Russian Military Cyber Actors Target US and Global Critical Infrastructure","",""
"179.43.142.42","CISA AA24-249A Russian Military Cyber Actors Target US and Global Critical Infrastructure","",""
"179.43.162.55","CISA AA24-249A Russian Military Cyber Actors Target US and Global Critical Infrastructure","",""
"179.43.175.38","CISA AA24-249A Russian Military Cyber Actors Target US and Global Critical Infrastructure","",""
"179.43.175.108","CISA AA24-249A Russian Military Cyber Actors Target US and Global Critical Infrastructure","",""
"179.43.176.60","CISA AA24-249A Russian Military Cyber Actors Target US and Global Critical Infrastructure","",""
"179.43.187.47","CISA AA24-249A Russian Military Cyber Actors Target US and Global Critical Infrastructure","",""
"179.43.189.218","CISA AA24-249A Russian Military Cyber Actors Target US and Global Critical Infrastructure","",""
"185.245.84.227","CISA AA24-249A Russian Military Cyber Actors Target US and Global Critical Infrastructure","",""
"185.245.85.251","CISA AA24-249A Russian Military Cyber Actors Target US and Global Critical Infrastructure","",""
"194.26.29.84","CISA AA24-249A Russian Military Cyber Actors Target US and Global Critical Infrastructure","",""
"194.26.29.95","CISA AA24-249A Russian Military Cyber Actors Target US and Global Critical Infrastructure","",""
"194.26.29.98","CISA AA24-249A Russian Military Cyber Actors Target US and Global Critical Infrastructure","",""
"194.26.29.251","CISA AA24-249A Russian Military Cyber Actors Target US and Global Critical Infrastructure","",""
"213.32.252.221","Russian GRU targeting logistics and tech companies","CSA_RUSSIAN_GRU_TARGET_LOGISTICS.PDF","2026-04-28 08:53:37"
"192.162.174.67","Russian GRU targeting logistics and tech companies","CSA_RUSSIAN_GRU_TARGET_LOGISTICS.PDF","2026-04-28 08:53:37"
"70.34.252.186","Russian GRU targeting logistics and tech companies","CSA_RUSSIAN_GRU_TARGET_LOGISTICS.PDF","2026-04-28 08:53:37"
"70.34.252.222","Russian GRU targeting logistics and tech companies","CSA_RUSSIAN_GRU_TARGET_LOGISTICS.PDF","2026-04-28 08:53:37"
"91.149.202.215","Russian GRU targeting logistics and tech companies","CSA_RUSSIAN_GRU_TARGET_LOGISTICS.PDF","2026-04-28 08:53:37"
"178.235.191.182","Russian GRU targeting logistics and tech companies","CSA_RUSSIAN_GRU_TARGET_LOGISTICS.PDF","2026-04-28 08:53:37"
"70.34.243.226","Russian GRU targeting logistics and tech companies","CSA_RUSSIAN_GRU_TARGET_LOGISTICS.PDF","2026-04-28 08:53:37"
"207.244.71.84","Russian GRU targeting logistics and tech companies","CSA_RUSSIAN_GRU_TARGET_LOGISTICS.PDF","2026-04-28 08:53:37"
"91.149.219.23","Russian GRU targeting logistics and tech companies","CSA_RUSSIAN_GRU_TARGET_LOGISTICS.PDF","2026-04-28 08:53:37"
"91.149.203.73","Russian GRU targeting logistics and tech companies","CSA_RUSSIAN_GRU_TARGET_LOGISTICS.PDF","2026-04-28 08:53:37"
"147.135.209.245","Russian GRU targeting logistics and tech companies","CSA_RUSSIAN_GRU_TARGET_LOGISTICS.PDF","2026-04-28 08:53:37"
"185.234.235.69","Russian GRU targeting logistics and tech companies","CSA_RUSSIAN_GRU_TARGET_LOGISTICS.PDF","2026-04-28 08:53:37"
"70.34.252.168","Russian GRU targeting logistics and tech companies","CSA_RUSSIAN_GRU_TARGET_LOGISTICS.PDF","2026-04-28 08:53:37"
"103.97.203.29","Russian GRU targeting logistics and tech companies","CSA_RUSSIAN_GRU_TARGET_LOGISTICS.PDF","2026-04-28 08:53:37"
"91.149.255.195","Russian GRU targeting logistics and tech companies","CSA_RUSSIAN_GRU_TARGET_LOGISTICS.PDF","2026-04-28 08:53:37"
"194.126.178.8","Russian GRU targeting logistics and tech companies","CSA_RUSSIAN_GRU_TARGET_LOGISTICS.PDF","2026-04-28 08:53:37"
"64.176.70.18","Russian GRU targeting logistics and tech companies","CSA_RUSSIAN_GRU_TARGET_LOGISTICS.PDF","2026-04-28 08:53:37"
"70.34.242.220","Russian GRU targeting logistics and tech companies","CSA_RUSSIAN_GRU_TARGET_LOGISTICS.PDF","2026-04-28 08:53:37"
"91.149.253.20","Russian GRU targeting logistics and tech companies","CSA_RUSSIAN_GRU_TARGET_LOGISTICS.PDF","2026-04-28 08:53:37"
"91.221.88.76","Russian GRU targeting logistics and tech companies","CSA_RUSSIAN_GRU_TARGET_LOGISTICS.PDF","2026-04-28 08:53:37"
"64.176.69.196","Russian GRU targeting logistics and tech companies","CSA_RUSSIAN_GRU_TARGET_LOGISTICS.PDF","2026-04-28 08:53:37"
"213.134.184.167","Russian GRU targeting logistics and tech companies","CSA_RUSSIAN_GRU_TARGET_LOGISTICS.PDF","2026-04-28 08:53:37"
